cc,cf_id,uniq_id,location,region,link,ucdp_actor_id,actor_name,ucdp_acd_id,ucdp_dyad,pax_id,cf_dec_yr,cf_dec_month,cf_dec_day,cf_effect_yr,cf_effect_month,cf_effect_day,evidence_onset,side,partial,written,fixed,fixed_time,nsa_frac,p_humanitarian,p_peaceprocess,p_holiday,p_election,p_other,p_other_comment,p_unclear,ceasefire_class,timing,cf_pp,mediator_nego,mediator_send,implement,enforcement,ddr,splinter,ended,end_yr,end_month,end_day,evidence_end,comment,factivia_source,factivia_page,truce,recentadditions,link_id1,link_id2,link_id3,link_id4,link_id5,link_id6,link_id7,link_id8,link_id9,link_id10,link_id11,link_id12,link_id13,link_id14,link_id15,link_id16,link_id17,link_id18,link_id19,link_id20,link_id21,link_id22,link_id23,link_id24,link_id25,link_id26,link_id27,link_id28,link_id29,link_id30,link_id31,link_id32,link_id33,link_id34,link_id35,coder,id
70,1,70001,Mexico,5,0,10,Government of Mexico,400,850,-1,1994,1,12,1994,1,12,,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,"The ceasefire was declared unilaterally by the Mexican government after pressure from international actors to stop the violence and negotiate for peace. Negotiations were started, and amnesty was offered to those who laid down their weapons.",0,0,0,0,0,0,2,1995,2,9,,,,"Purpose: (De Palma, 13.01.1994)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,RR,1
70,2,70002,Mexico,5,0,767,EZLN,400,850,-1,1994,1,16,1994,1,16,,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,"EZLN agreed to abide by the unilateral ceasefire by the government, but without laying down arms or drawing back troops. At the same time they agreed to start peace negotiations with the government.",0,0,0,0,0,1,2,1994,12,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RR,2
70,3,70003,Mexico,5,0,767,EZLN,400,850,-1,1994,12,30,1995,1,1,,1,0,-1,1,6,1,0,1,0,0,0,0,0,1,1,The ceasefire was a first step towards new peace negotiations with the government.,0,0,0,0,0,1,4,1995,1,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RR,3
70,4,70004,Mexico,5,1,767,EZLN,400,850,-1,1995,1,6,1995,1,7,,1,0,0,1,6,1,0,1,0,0,0,0,0,1,1,"With this extension they also proposed a lasting truce and the opening of peace negotiations depending on the government first resolving post-electoral disputes in the states of Chiapas, Veracruz and Tabasco, second acknowledging the government of transition to democracy in Chiapas, and third acknowledging the National Mediation Commission.",0,0,0,0,0,1,4,1995,1,12,,,,"Ceasefire_type, timing, type_1, type_1_time:(BBC, 09.01.1995; Reuters, 07.01.1995)",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RR,4
70,5,70005,Mexico,5,1,767,EZLN,400,850,-1,1995,1,-1,1995,1,13,,1,0,0,1,6,1,0,1,0,0,0,0,0,1,1,Ceasefire declared with the acceptance of peace talks with the governement.,0,0,0,0,0,1,4,1995,1,17,,,,"DDR:(Reuters, 13.01.1995)",0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RR,5
70,6,70006,Mexico,5,1,767,EZLN,400,850,-1,1995,1,17,1995,1,18,,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,"The rebels' move appeared to be a response to government moves earlier this week when President Ernesto Zedillo ordered an army pullback in two of the most conflict-ridden zones in Chiapas. Marcos announced his decision after a series of meetings with Interior Secretary Esteban Moctezuma, who has taken a high-profile, hands-on approach to the rebel situation.",0,0,0,0,0,1,-1,-1,-1,-1,,,,"Link:(Reuters, 18.01.1995)Purpose/Ceasefire_type/Timing:(Dow Jones News Service, 18.01.1995)",0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RR,6
70,7,70007,Mexico,5,0,10,Government of Mexico,400,850,-1,1995,2,14,1995,2,14,,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,After an offensive to arrest the EZLN leaders Zedillo called back his troops and pleaded for negotiations. He also removed a controversial governnor in order to open negotiations.,0,0,0,0,0,0,-1,-1,-1,-1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RR,7
70,8,70008,Mexico,5,0,768,EPR,400,851,-1,1996,9,25,1996,9,25,,1,1,0,1,31,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1996,10,26,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RR,8
70,9,70009,Mexico,5,0,768,EPR,400,851,-1,1996,11,5,1996,11,5,,1,0,0,1,12,1,0,0,0,1,0,0,0,1,0,Not related to Peace Process,0,0,0,0,0,1,-1,1996,11,17,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RR,9
70,10,70010,Mexico,5,0,768,EPR,400,851,-1,1996,12,20,1996,12,20,,1,0,0,1,18,1,0,0,1,0,0,0,0,1,0,Not related to Peace Process,0,0,0,0,0,1,-1,-1,-1,-1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RR,10
70,11,70011,Mexico,5,0,768,EPR,400,851,-1,1997,6,4,1997,6,4,,1,0,0,1,41,1,0,0,0,1,0,0,0,1,0,Not related to Peace Process,0,0,0,0,0,1,1,1997,7,15,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RR,11
90,1,90001,Guatemala,5,0,732,URNG,233,469,704,1990,6,1,-1,-1,-1,,1,0,1,-1,-1,1,0,1,0,1,0,0,0,1,1,This agreement is not the signing of peace but the first step towards a peace process.,0,0,0,0,0,1,-1,-1,-1,-1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,12
90,2,90002,Guatemala,5,0,732,URNG,233,469,-1,1993,6,13,1993,6,15,,1,0,0,0,0,1,0,0,0,0,1,goodwill gesture,0,1,0,Not related to peace process,0,0,0,0,0,1,-1,-1,-1,-1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,13
90,3,90003,Guatemala,5,0,732,URNG,233,469,-1,1995,8,22,1995,11,1,,1,0,0,1,13,1,0,1,0,1,0,0,0,1,2,Rebels of the Guatemalan National Revolutionary Unit (URNG) said the ceasefire during the elections followed progress in peace talks to end a 35-year civil war.,0,0,0,0,0,1,1,1995,11,13,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,14
90,4,90004,Guatemala,5,0,732,URNG,233,469,-1,1995,12,23,1995,12,24,,1,0,0,1,15,1,0,1,1,0,0,0,0,1,2,"The UNRG guerilla declared a ceasefire during the second round of the presidential election in hopes a new president will be more enthusiastic about peace talks, and to coincide with the christmas celebration.�",0,0,0,0,0,1,1,1996,1,8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,15
90,5,90005,Guatemala,5,0,732,URNG,233,469,-1,1996,2,2,1996,2,2,,1,0,0,1,6,1,0,0,0,0,1,visit,0,1,0,Not related to peace process,0,0,0,0,0,1,1,1996,2,10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,16
90,6,90006,Guatemala,5,0,11,Government ofGuatemala,233,469,-1,1996,3,20,1996,3,20,,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,"It was declared that the ceasefire was a corresponding move to the announcement earlier on Wednesday by the URNG guerilla movement to help peace talks, aiming at ending 35 years of military conflict in Guatemala. A new round of U.N.-mediated peace negotiations to end Guatemala's civil war is due to start next week in Mexico City.",0,0,0,0,0,0,4,1996,12,28,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,17
90,7,90007,Guatemala,5,2,732,URNG,233,469,-1,1996,3,20,1996,3,20,,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,"The ceasefire by the URNG guerilla movement was announced to help with peace talk negotiations, and the temporary end to hostilities is the most significant advance towards peace since negotiations began five years ago. A new round of U.N.-mediated peace negotiations to end Guatemala's civil war is due to start next week in Mexico City.",0,0,0,0,0,1,4,1996,12,28,,,,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,18
90,8,90008,Guatemala,5,2,732,URNG,233,469,253,1996,11,11,1996,12,29,,2,0,2,0,0,1,0,1,0,0,0,0,0,3,3,"Peace talks between the government and URNG began in April 1991. In December 1996, representatives from the government of Guatemala and the UNRG guerilla signed an agreement that could represent the first step towards peace. The agreement, which was signed after three days of negotiations in Oslo, is called a breakthrough for peace efforts in Guatemala. the definite ceasefire is the outcome of the concluding of the substantive agreements emanating from the peace process.",1,UN,1,2,1,1,0,0,0,0,,,,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,19
90,8,90008,Guatemala,5,2,11,Government of Guatemala,233,469,253,1996,11,11,1996,12,29,,2,0,2,0,0,0,0,1,0,0,0,0,0,3,3,"Peace talks between the government and URNG began in April 1991. In December 1996, representatives from the government of Guatemala and the UNRG guerilla signed an agreement that could represent the first step towards peace. The agreement, which was signed after three days of negotiations in Oslo, is called a breakthrough for peace efforts in Guatemala. the definite ceasefire is the outcome of the concluding of the substantive agreements emanating from the peace process.",1,UN,1,2,1,0,0,0,0,0,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,20
92,1,92001,El Salvador,5,0,755,FMLN,316,697,-1,1989,2,8,1989,2,13,,1,0,0,1,2,1,0,1,0,0,1,summit,0,1,1,"Peace talks began in 1990. This ceasefire was declared with hopes to get peace in the country.""The presidents are to hold an often-postponed follow-up meeting at the Tesoro Beach resort on El Salvador's Pacific Coast, 60 kms (36 miles) southeast of San Salvador, on Monday and Tuesday to try to revive the stalled peace process. With the Salvadorean conflict intensifying during the past year, the FMLN communique also urged the presidents to discuss a peace plan proposed by the rebels last month.In it the rebels offered to recognise presidential elections if they were postponed from March 19 to September 16 and guarantees taken to ensure free and fair participation of leftist candidates. They broadened the offer on Tuesday by proposing a 60-day ceasefire during the elections."" (Reuters News, 08.02.1989)",0,0,0,0,0,1,1,1989,2,14,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,21
92,2,92002,El Salvador,5,0,13,Government of El Salvador,316,697,-1,1989,2,28,1989,2,28,,1,0,0,1,90,0,0,1,0,0,0,0,0,1,1,"SAN SALVADOR, March 1, Reuter - Leftist guerrillas refused on Wednesday to call a ceasefire in the war against El Salvador's U.S.-backed government until it agreed on a time and place for peace talks. The rebel announcement followed a night of attacks hours after the armed forces declared a three-month unilateral ceasefire from midnight on Tuesday in what they said was a move to help peace efforts.",0,0,0,0,0,0,-1,-1,-1,-1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,22
92,3,92003,El Salvador,5,0,755,FMLN,316,697,-1,1989,9,11,1989,9,13,,1,0,0,1,11,1,0,1,0,0,0,0,0,1,1,"""MEXICO CITY, Sept 12, Reuter - Farabundo Marti National Liberation Front (FMLN) guerrilla commanders and a five-member government commission arrived in Mexico City on Tuesday for the first peace talks in two years in El Salvador's decade-long civil war. The talks, due to begin on Wednesday, are the first between the rebels and the rightist government of President Alfredo Cristiani who has said he has given priority to ending the war that has cost 70,000 lives. The last time the rebels met with officials from the Salvadorean government was in October 1987, when talks between the FMLN and then-president Jose Napoleon Duarte ended with little progress made towards ending the bloodshed. The dialogue will take place during a rare unilateral guerrilla ceasefire and a suspension of rebel sabotage, moves the FMLN says are aimed at creating a positive climate for the talks."" (Jacobsen, R., 12.09.1989)",0,0,0,0,0,1,1,1989,9,23,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,23
92,4,92004,El Salvador,5,0,755,FMLN,316,697,-1,1989,11,30,1989,11,30,,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,Not related to peace process,0,0,0,0,0,1,1,1989,12,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,24
92,5,92005,El Salvador,5,0,755,FMLN,316,697,-1,1989,12,22,1989,12,23,,1,0,0,1,10,1,0,0,1,0,0,0,0,1,0,Not related to peace process,0,0,0,0,0,1,1,1990,1,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,25
92,6,92006,El Salvador,5,0,755,FMLN,316,697,-1,1990,2,23,1990,2,24,,1,0,0,1,2,1,0,0,0,0,1,burial,0,1,0,Not related to peace process,0,0,0,0,0,1,1,1990,2,25,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,26
92,7,92007,El Salvador,5,0,755,FMLN,316,697,-1,1990,4,1,1990,4,1,,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,Not related to peace process,0,0,0,0,0,1,1,1990,4,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,27
92,8,92008,El Salvador,5,0,755,FMLN,316,697,-1,1990,12,5,1990,12,-1,,1,1,0,1,Ceasefire declared over the holidays but unclear for how many days as nothing is stipulated. ,1,0,0,1,0,0,0,0,1,0,Not related to peace process,0,0,0,0,0,1,-1,-1,-1,-1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,28
92,9,92009,El Salvador,5,0,755,FMLN,316,697,-1,1991,3,1,1991,3,2,,1,0,0,1,5,1,0,0,0,1,0,0,0,1,0,Not related to peace process,0,0,0,0,0,1,1,1991,3,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,29
92,10,92010,El Salvador,5,0,755,FMLN,316,697,-1,1991,3,1,1991,3,9,,1,0,0,1,3,1,0,0,0,1,0,0,0,1,0,Not related to peace process,0,0,0,0,0,1,1,1991,3,11,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,30
92,11,92011,El Salvador,5,0,755,FMLN,316,697,-1,1991,7,11,1991,7,15,,1,1,0,1,3,1,0,0,0,0,1,summit,0,1,0,Not related to peace process,0,0,0,0,0,1,1,1991,7,17,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TS,31
